lat,lon,trend_1901_2023_C_decade,trend_1994_2023_C_decade
-87.5000,-177.5000,0.2263,0.4571
-82.5000,-177.5000,0.2886,0.4352
-77.5000,-177.5000,0.0281,0.5507
-72.5000,-177.5000,0.1087,0.3612
-67.5000,-177.5000,0.0724,0.2991
-62.5000,-177.5000,0.1133,0.1370
-57.5000,-177.5000,0.0805,0.1079
-52.5000,-177.5000,0.0921,0.1547
-47.5000,-177.5000,0.0962,0.2278
-42.5000,-177.5000,0.0902,0.2338
-37.5000,-177.5000,0.0879,0.2267
-32.5000,-177.5000,0.0939,0.2375
-27.5000,-177.5000,0.0958,0.2020
-22.5000,-177.5000,0.0915,0.1995
-17.5000,-177.5000,0.0842,0.1955
-12.5000,-177.5000,0.0793,0.1541
-7.5000,-177.5000,0.0801,0.0875
-2.5000,-177.5000,0.0758,0.0352
2.5000,-177.5000,0.0703,0.0480
7.5000,-177.5000,0.0832,0.0974
12.5000,-177.5000,0.0760,0.1207
17.5000,-177.5000,0.0806,0.1305
22.5000,-177.5000,0.0868,0.1563
27.5000,-177.5000,0.0891,0.2455
32.5000,-177.5000,0.0963,0.2933
37.5000,-177.5000,0.0979,0.4576
42.5000,-177.5000,0.0780,0.3544
47.5000,-177.5000,0.0903,0.2433
52.5000,-177.5000,0.1082,0.2756
57.5000,-177.5000,0.1209,0.4365
62.5000,-177.5000,0.1671,1.0816
67.5000,-177.5000,0.1845,1.0074
72.5000,-177.5000,0.1984,1.0915
77.5000,-177.5000,0.1644,0.8727
82.5000,-177.5000,0.1841,0.5634
87.5000,-177.5000,0.2919,0.5206
-87.5000,-172.5000,0.2271,0.4509
-82.5000,-172.5000,0.2903,0.4083
-77.5000,-172.5000,0.0194,0.5852
-72.5000,-172.5000,0.1336,0.4360
-67.5000,-172.5000,0.0504,0.3082
-62.5000,-172.5000,0.0938,0.1112
-57.5000,-172.5000,0.0744,0.0423
-52.5000,-172.5000,0.0882,0.0979
-47.5000,-172.5000,0.0937,0.2226
-42.5000,-172.5000,0.0890,0.2570
-37.5000,-172.5000,0.0967,0.2958
-32.5000,-172.5000,0.0967,0.2858
-27.5000,-172.5000,0.0896,0.2096
-22.5000,-172.5000,0.0840,0.2097
-17.5000,-172.5000,0.0729,0.1782
-12.5000,-172.5000,0.0735,0.1318
-7.5000,-172.5000,0.0698,0.0647
-2.5000,-172.5000,0.0651,0.0113
2.5000,-172.5000,0.0696,0.0320
7.5000,-172.5000,0.0773,0.0898
12.5000,-172.5000,0.0729,0.1354
17.5000,-172.5000,0.0773,0.1495
22.5000,-172.5000,0.0898,0.1932
27.5000,-172.5000,0.0937,0.2372
32.5000,-172.5000,0.0994,0.3005
37.5000,-172.5000,0.0976,0.4468
42.5000,-172.5000,0.0785,0.3464
47.5000,-172.5000,0.0894,0.2401
52.5000,-172.5000,0.1132,0.2614
57.5000,-172.5000,0.1251,0.4431
62.5000,-172.5000,0.1571,0.8985
67.5000,-172.5000,0.1944,1.0587
72.5000,-172.5000,0.2315,1.1670
77.5000,-172.5000,0.1687,0.9020
82.5000,-172.5000,0.3254,0.5819
87.5000,-172.5000,0.2913,0.5118
-87.5000,-167.5000,0.2304,0.4523
-82.5000,-167.5000,0.2978,0.3826
-77.5000,-167.5000,0.0291,0.5942
-72.5000,-167.5000,0.2255,0.4751
-67.5000,-167.5000,0.0670,0.3188
-62.5000,-167.5000,0.0608,0.1086
-57.5000,-167.5000,0.0670,0.0491
-52.5000,-167.5000,0.0693,0.0414
-47.5000,-167.5000,0.0801,0.1860
-42.5000,-167.5000,0.0906,0.2786
-37.5000,-167.5000,0.1015,0.3425
-32.5000,-167.5000,0.1026,0.3391
-27.5000,-167.5000,0.0880,0.2694
-22.5000,-167.5000,0.0762,0.2061
-17.5000,-167.5000,0.0678,0.1586
-12.5000,-167.5000,0.0663,0.1013
-7.5000,-167.5000,0.0676,0.0332
-2.5000,-167.5000,0.0662,-0.0397
2.5000,-167.5000,0.0703,-0.0144
7.5000,-167.5000,0.0776,0.0711
12.5000,-167.5000,0.0747,0.1364
17.5000,-167.5000,0.0785,0.1775
22.5000,-167.5000,0.0898,0.2121
27.5000,-167.5000,0.0978,0.2362
32.5000,-167.5000,0.1015,0.2990
37.5000,-167.5000,0.0933,0.4360
42.5000,-167.5000,0.0806,0.4171
47.5000,-167.5000,0.0917,0.2640
52.5000,-167.5000,0.1171,0.2739
57.5000,-167.5000,0.1141,0.5442
62.5000,-167.5000,0.1357,0.8241
67.5000,-167.5000,0.1901,0.9920
72.5000,-167.5000,0.2393,1.2036
77.5000,-167.5000,0.1755,0.9389
82.5000,-167.5000,0.3386,0.5421
87.5000,-167.5000,0.2912,0.5035
-87.5000,-162.5000,0.2382,0.4586
-82.5000,-162.5000,0.3090,0.3630
-77.5000,-162.5000,0.1018,0.5723
-72.5000,-162.5000,0.2383,0.5160
-67.5000,-162.5000,0.0768,0.2687
-62.5000,-162.5000,0.0571,0.1112
-57.5000,-162.5000,0.0481,-0.0277
-52.5000,-162.5000,0.0553,-0.0042
-47.5000,-162.5000,0.0750,0.1925
-42.5000,-162.5000,0.0896,0.2983
-37.5000,-162.5000,0.1063,0.3812
-32.5000,-162.5000,0.1073,0.3657
-27.5000,-162.5000,0.0870,0.2729
-22.5000,-162.5000,0.0681,0.2044
-17.5000,-162.5000,0.0656,0.1395
-12.5000,-162.5000,0.0636,0.0687
-7.5000,-162.5000,0.0604,-0.0034
-2.5000,-162.5000,0.0632,-0.0471
2.5000,-162.5000,0.0687,-0.0228
7.5000,-162.5000,0.0770,0.0758
12.5000,-162.5000,0.0747,0.1384
17.5000,-162.5000,0.0783,0.1733
22.5000,-162.5000,0.0880,0.2328
27.5000,-162.5000,0.0946,0.2408
32.5000,-162.5000,0.0958,0.3083
37.5000,-162.5000,0.0862,0.4352
42.5000,-162.5000,0.0821,0.4616
47.5000,-162.5000,0.0969,0.3124
52.5000,-162.5000,0.1226,0.2915
57.5000,-162.5000,0.1046,0.5911
62.5000,-162.5000,0.1164,0.6571
67.5000,-162.5000,0.1324,0.7500
72.5000,-162.5000,0.2121,1.1218
77.5000,-162.5000,0.1721,0.9072
82.5000,-162.5000,0.3100,0.5136
87.5000,-162.5000,0.2908,0.4961
-87.5000,-157.5000,0.2483,0.4695
-82.5000,-157.5000,0.3209,0.3404
-77.5000,-157.5000,0.3461,0.5765
-72.5000,-157.5000,0.2497,0.5918
-67.5000,-157.5000,0.0960,0.2347
-62.5000,-157.5000,0.0724,0.0955
-57.5000,-157.5000,0.0440,-0.0723
-52.5000,-157.5000,0.0524,-0.0256
-47.5000,-157.5000,0.0791,0.2245
-42.5000,-157.5000,0.0899,0.2861
-37.5000,-157.5000,0.1071,0.3883
-32.5000,-157.5000,0.1062,0.3589
-27.5000,-157.5000,0.0847,0.2512
-22.5000,-157.5000,0.0667,0.1904
-17.5000,-157.5000,0.0601,0.1434
-12.5000,-157.5000,0.0608,0.0428
-7.5000,-157.5000,0.0601,-0.0277
-2.5000,-157.5000,0.0582,-0.0339
2.5000,-157.5000,0.0611,0.0101
7.5000,-157.5000,0.0711,0.0941
12.5000,-157.5000,0.0732,0.1487
17.5000,-157.5000,0.0751,0.1716
22.5000,-157.5000,0.0809,0.2462
27.5000,-157.5000,0.0908,0.2712
32.5000,-157.5000,0.0872,0.3648
37.5000,-157.5000,0.0814,0.4884
42.5000,-157.5000,0.0830,0.5323
47.5000,-157.5000,0.0975,0.3859
52.5000,-157.5000,0.1184,0.3014
57.5000,-157.5000,0.1009,0.4251
62.5000,-157.5000,0.1152,0.4929
67.5000,-157.5000,0.1134,0.5801
72.5000,-157.5000,0.1777,0.9562
77.5000,-157.5000,0.1634,0.8438
82.5000,-157.5000,0.3061,0.5124
87.5000,-157.5000,0.2905,0.4913
-87.5000,-152.5000,0.2571,0.4901
-82.5000,-152.5000,0.3267,0.3083
-77.5000,-152.5000,0.3423,0.4956
-72.5000,-152.5000,0.2607,0.6291
-67.5000,-152.5000,0.1545,0.3433
-62.5000,-152.5000,0.0796,0.1293
-57.5000,-152.5000,0.0357,-0.0657
-52.5000,-152.5000,0.0574,0.0015
-47.5000,-152.5000,0.0751,0.1873
-42.5000,-152.5000,0.0890,0.2619
-37.5000,-152.5000,0.1073,0.3840
-32.5000,-152.5000,0.1016,0.3140
-27.5000,-152.5000,0.0798,0.2212
-22.5000,-152.5000,0.0630,0.1611
-17.5000,-152.5000,0.0586,0.1564
-12.5000,-152.5000,0.0557,0.0449
-7.5000,-152.5000,0.0523,-0.0144
-2.5000,-152.5000,0.0547,-0.0337
2.5000,-152.5000,0.0549,0.0391
7.5000,-152.5000,0.0660,0.1109
12.5000,-152.5000,0.0677,0.1606
17.5000,-152.5000,0.0682,0.1684
22.5000,-152.5000,0.0721,0.2539
27.5000,-152.5000,0.0845,0.2862
32.5000,-152.5000,0.0894,0.4114
37.5000,-152.5000,0.0824,0.5522
42.5000,-152.5000,0.0822,0.5870
47.5000,-152.5000,0.1050,0.4489
52.5000,-152.5000,0.1140,0.3189
57.5000,-152.5000,0.1080,0.2473
62.5000,-152.5000,0.1196,0.3167
67.5000,-152.5000,0.1193,0.4457
72.5000,-152.5000,0.1629,0.8568
77.5000,-152.5000,0.1533,0.7753
82.5000,-152.5000,0.2980,0.5063
87.5000,-152.5000,0.2891,0.4903
-87.5000,-147.5000,0.2616,0.5083
-82.5000,-147.5000,0.3265,0.2829
-77.5000,-147.5000,0.3269,0.3778
-72.5000,-147.5000,0.2894,0.6208
-67.5000,-147.5000,0.1962,0.2816
-62.5000,-147.5000,0.0780,0.0605
-57.5000,-147.5000,0.0293,-0.0778
-52.5000,-147.5000,0.0560,0.0029
-47.5000,-147.5000,0.0677,0.1478
-42.5000,-147.5000,0.0878,0.2653
-37.5000,-147.5000,0.1060,0.3810
-32.5000,-147.5000,0.0939,0.2976
-27.5000,-147.5000,0.0764,0.2497
-22.5000,-147.5000,0.0590,0.1240
-17.5000,-147.5000,0.0605,0.1181
-12.5000,-147.5000,0.0526,0.0289
-7.5000,-147.5000,0.0471,-0.0404
-2.5000,-147.5000,0.0470,-0.0545
2.5000,-147.5000,0.0498,0.0009
7.5000,-147.5000,0.0578,0.0867
12.5000,-147.5000,0.0606,0.1493
17.5000,-147.5000,0.0638,0.1636
22.5000,-147.5000,0.0706,0.2265
27.5000,-147.5000,0.0770,0.2704
32.5000,-147.5000,0.0925,0.4026
37.5000,-147.5000,0.0878,0.5660
42.5000,-147.5000,0.0840,0.5791
47.5000,-147.5000,0.1100,0.4787
52.5000,-147.5000,0.1156,0.3487
57.5000,-147.5000,0.1057,0.2828
62.5000,-147.5000,0.1223,0.2479
67.5000,-147.5000,0.1253,0.3626
72.5000,-147.5000,0.1552,0.7941
77.5000,-147.5000,0.1438,0.6984
82.5000,-147.5000,0.2948,0.5010
87.5000,-147.5000,0.2867,0.4924
-87.5000,-142.5000,0.2561,0.4888
-82.5000,-142.5000,0.3261,0.2869
-77.5000,-142.5000,0.2884,0.2702
-72.5000,-142.5000,0.2952,0.5560
-67.5000,-142.5000,0.2027,0.1434
-62.5000,-142.5000,0.0615,0.0226
-57.5000,-142.5000,0.0329,-0.0752
-52.5000,-142.5000,0.0572,0.0212
-47.5000,-142.5000,0.0649,0.1348
-42.5000,-142.5000,0.0851,0.2637
-37.5000,-142.5000,0.1007,0.3660
-32.5000,-142.5000,0.0941,0.3091
-27.5000,-142.5000,0.0770,0.2298
-22.5000,-142.5000,0.0588,0.0944
-17.5000,-142.5000,0.0604,0.0231
-12.5000,-142.5000,0.0541,-0.0354
-7.5000,-142.5000,0.0446,-0.0770
-2.5000,-142.5000,0.0449,-0.0605
2.5000,-142.5000,0.0435,0.0030
7.5000,-142.5000,0.0539,0.0880
12.5000,-142.5000,0.0587,0.1583
17.5000,-142.5000,0.0619,0.1722
22.5000,-142.5000,0.0678,0.1835
27.5000,-142.5000,0.0762,0.2222
32.5000,-142.5000,0.0908,0.3486
37.5000,-142.5000,0.0912,0.4980
42.5000,-142.5000,0.0878,0.5408
47.5000,-142.5000,0.1073,0.4388
52.5000,-142.5000,0.1137,0.3172
57.5000,-142.5000,0.1066,0.3009
62.5000,-142.5000,0.1292,0.2188
67.5000,-142.5000,0.1314,0.3205
72.5000,-142.5000,0.1362,0.6977
77.5000,-142.5000,0.1360,0.6223
82.5000,-142.5000,0.2944,0.4995
87.5000,-142.5000,0.2856,0.4960
-87.5000,-137.5000,0.2546,0.4766
-82.5000,-137.5000,0.3205,0.2927
-77.5000,-137.5000,0.2778,0.2802
-72.5000,-137.5000,0.2981,0.5120
-67.5000,-137.5000,0.1769,0.1262
-62.5000,-137.5000,0.0559,-0.0062
-57.5000,-137.5000,0.0414,-0.0809
-52.5000,-137.5000,0.0506,-0.0499
-47.5000,-137.5000,0.0638,0.0957
-42.5000,-137.5000,0.0846,0.2318
-37.5000,-137.5000,0.0997,0.3306
-32.5000,-137.5000,0.0955,0.2656
-27.5000,-137.5000,0.0704,0.1685
-22.5000,-137.5000,0.0534,0.0598
-17.5000,-137.5000,0.0526,-0.0328
-12.5000,-137.5000,0.0521,-0.0727
-7.5000,-137.5000,0.0509,-0.1013
-2.5000,-137.5000,0.0554,-0.0536
2.5000,-137.5000,0.0485,0.0014
7.5000,-137.5000,0.0540,0.1138
12.5000,-137.5000,0.0598,0.1581
17.5000,-137.5000,0.0657,0.1851
22.5000,-137.5000,0.0674,0.1597
27.5000,-137.5000,0.0775,0.1519
32.5000,-137.5000,0.0867,0.2446
37.5000,-137.5000,0.0881,0.3743
42.5000,-137.5000,0.0850,0.4583
47.5000,-137.5000,0.1015,0.3610
52.5000,-137.5000,0.1079,0.2427
57.5000,-137.5000,0.1107,0.2104
62.5000,-137.5000,0.1354,0.1249
67.5000,-137.5000,0.1310,0.4000
72.5000,-137.5000,0.1200,0.5846
77.5000,-137.5000,0.1312,0.5631
82.5000,-137.5000,0.2940,0.4927
87.5000,-137.5000,0.2840,0.4985
-87.5000,-132.5000,0.2514,0.4732
-82.5000,-132.5000,0.3178,0.3015
-77.5000,-132.5000,0.2624,0.2514
-72.5000,-132.5000,0.2848,0.4624
-67.5000,-132.5000,0.1116,0.0704
-62.5000,-132.5000,0.0512,-0.0004
-57.5000,-132.5000,0.0388,-0.1266
-52.5000,-132.5000,0.0569,-0.0306
-47.5000,-132.5000,0.0585,0.0462
-42.5000,-132.5000,0.0764,0.1692
-37.5000,-132.5000,0.0938,0.2751
-32.5000,-132.5000,0.0922,0.2311
-27.5000,-132.5000,0.0669,0.1272
-22.5000,-132.5000,0.0472,0.0365
-17.5000,-132.5000,0.0446,-0.0704
-12.5000,-132.5000,0.0469,-0.1023
-7.5000,-132.5000,0.0573,-0.1142
-2.5000,-132.5000,0.0651,-0.0926
2.5000,-132.5000,0.0685,-0.0011
7.5000,-132.5000,0.0653,0.0876
12.5000,-132.5000,0.0648,0.1533
17.5000,-132.5000,0.0685,0.1682
22.5000,-132.5000,0.0646,0.1269
27.5000,-132.5000,0.0774,0.0988
32.5000,-132.5000,0.0854,0.1265
37.5000,-132.5000,0.0841,0.1888
42.5000,-132.5000,0.0815,0.2661
47.5000,-132.5000,0.0949,0.2334
52.5000,-132.5000,0.1070,0.1449
57.5000,-132.5000,0.1286,0.2283
62.5000,-132.5000,0.1441,0.1148
67.5000,-132.5000,0.1301,0.3905
72.5000,-132.5000,0.1282,0.4916
77.5000,-132.5000,0.1285,0.5003
82.5000,-132.5000,0.2939,0.4825
87.5000,-132.5000,0.2823,0.4985
-87.5000,-127.5000,0.2477,0.4673
-82.5000,-127.5000,0.3094,0.3204
-77.5000,-127.5000,0.2568,0.2703
-72.5000,-127.5000,0.3048,0.4759
-67.5000,-127.5000,0.0797,0.2001
-62.5000,-127.5000,0.0547,-0.0018
-57.5000,-127.5000,0.0500,-0.1357
-52.5000,-127.5000,0.0601,-0.0275
-47.5000,-127.5000,0.0546,0.0117
-42.5000,-127.5000,0.0688,0.0991
-37.5000,-127.5000,0.0895,0.2397
-32.5000,-127.5000,0.0932,0.2404
-27.5000,-127.5000,0.0691,0.1138
-22.5000,-127.5000,0.0445,0.0068
-17.5000,-127.5000,0.0367,-0.1101
-12.5000,-127.5000,0.0384,-0.1341
-7.5000,-127.5000,0.0580,-0.1008
-2.5000,-127.5000,0.0686,-0.0810
2.5000,-127.5000,0.0734,-0.0156
7.5000,-127.5000,0.0713,0.0818
12.5000,-127.5000,0.0676,0.1577
17.5000,-127.5000,0.0661,0.1394
22.5000,-127.5000,0.0709,0.1127
27.5000,-127.5000,0.0809,0.0738
32.5000,-127.5000,0.0857,0.0614
37.5000,-127.5000,0.0738,0.0624
42.5000,-127.5000,0.0711,0.1197
47.5000,-127.5000,0.0922,0.0656
52.5000,-127.5000,0.1142,0.1428
57.5000,-127.5000,0.1318,0.2221
62.5000,-127.5000,0.1404,0.1263
67.5000,-127.5000,0.1242,0.3229
72.5000,-127.5000,0.1520,0.4400
77.5000,-127.5000,0.1289,0.4587
82.5000,-127.5000,0.2935,0.4686
87.5000,-127.5000,0.2804,0.4954
-87.5000,-122.5000,0.2413,0.4569
-82.5000,-122.5000,0.2996,0.3472
-77.5000,-122.5000,0.2633,0.2908
-72.5000,-122.5000,0.2855,0.4381
-67.5000,-122.5000,0.0278,0.2013
-62.5000,-122.5000,0.0619,-0.0154
-57.5000,-122.5000,0.0541,-0.0810
-52.5000,-122.5000,0.0555,-0.0634
-47.5000,-122.5000,0.0525,-0.0564
-42.5000,-122.5000,0.0649,0.0374
-37.5000,-122.5000,0.0856,0.2131
-32.5000,-122.5000,0.0946,0.2282
-27.5000,-122.5000,0.0787,0.1058
-22.5000,-122.5000,0.0472,-0.0242
-17.5000,-122.5000,0.0318,-0.1276
-12.5000,-122.5000,0.0334,-0.1411
-7.5000,-122.5000,0.0553,-0.0929
-2.5000,-122.5000,0.0612,-0.0467
2.5000,-122.5000,0.0669,0.0655
7.5000,-122.5000,0.0672,0.1043
12.5000,-122.5000,0.0725,0.1781
17.5000,-122.5000,0.0697,0.1539
22.5000,-122.5000,0.0758,0.1752
27.5000,-122.5000,0.0913,0.1103
32.5000,-122.5000,0.0965,0.1278
37.5000,-122.5000,0.0918,0.2467
42.5000,-122.5000,0.1034,0.2257
47.5000,-122.5000,0.1037,0.1335
52.5000,-122.5000,0.1144,0.1256
57.5000,-122.5000,0.1254,0.2717
62.5000,-122.5000,0.1310,0.1645
67.5000,-122.5000,0.1277,0.2334
72.5000,-122.5000,0.1462,0.4052
77.5000,-122.5000,0.1576,0.4425
82.5000,-122.5000,0.2945,0.4539
87.5000,-122.5000,0.2793,0.4903
-87.5000,-117.5000,0.2378,0.4545
-82.5000,-117.5000,0.2900,0.3765
-77.5000,-117.5000,0.2703,0.3331
-72.5000,-117.5000,0.3202,0.4953
-67.5000,-117.5000,-0.0180,0.1408
-62.5000,-117.5000,0.0654,-0.0164
-57.5000,-117.5000,0.0529,-0.0501
-52.5000,-117.5000,0.0501,-0.0932
-47.5000,-117.5000,0.0531,-0.0879
-42.5000,-117.5000,0.0677,0.0228
-37.5000,-117.5000,0.0887,0.1968
-32.5000,-117.5000,0.0969,0.1792
-27.5000,-117.5000,0.0804,0.0952
-22.5000,-117.5000,0.0527,-0.0027
-17.5000,-117.5000,0.0326,-0.1397
-12.5000,-117.5000,0.0341,-0.1648
-7.5000,-117.5000,0.0522,-0.1117
-2.5000,-117.5000,0.0604,-0.0514
2.5000,-117.5000,0.0710,0.0691
7.5000,-117.5000,0.0689,0.1107
12.5000,-117.5000,0.0735,0.1887
17.5000,-117.5000,0.0747,0.1954
22.5000,-117.5000,0.0874,0.2222
27.5000,-117.5000,0.1094,0.2628
32.5000,-117.5000,0.1198,0.3086
37.5000,-117.5000,0.1252,0.2955
42.5000,-117.5000,0.1061,0.1592
47.5000,-117.5000,0.0993,0.1326
52.5000,-117.5000,0.1101,0.2350
57.5000,-117.5000,0.1247,0.2811
62.5000,-117.5000,0.1297,0.1386
67.5000,-117.5000,0.1328,0.2161
72.5000,-117.5000,0.1287,0.3664
77.5000,-117.5000,0.2108,0.4371
82.5000,-117.5000,0.2958,0.4478
87.5000,-117.5000,0.2791,0.4843
-87.5000,-112.5000,0.2323,0.4420
-82.5000,-112.5000,0.2878,0.3938
-77.5000,-112.5000,0.2755,0.3646
-72.5000,-112.5000,0.3478,0.4783
-67.5000,-112.5000,-0.0085,0.1426
-62.5000,-112.5000,0.0742,-0.0067
-57.5000,-112.5000,0.0600,-0.0178
-52.5000,-112.5000,0.0593,-0.0459
-47.5000,-112.5000,0.0600,-0.0747
-42.5000,-112.5000,0.0757,0.0151
-37.5000,-112.5000,0.0916,0.1588
-32.5000,-112.5000,0.0942,0.1635
-27.5000,-112.5000,0.0736,0.0832
-22.5000,-112.5000,0.0469,-0.0208
-17.5000,-112.5000,0.0293,-0.1554
-12.5000,-112.5000,0.0357,-0.1637
-7.5000,-112.5000,0.0516,-0.0927
-2.5000,-112.5000,0.0608,-0.0450
2.5000,-112.5000,0.0692,0.0649
7.5000,-112.5000,0.0725,0.1052
12.5000,-112.5000,0.0724,0.1750
17.5000,-112.5000,0.0763,0.1767
22.5000,-112.5000,0.0915,0.1796
27.5000,-112.5000,0.0921,0.2071
32.5000,-112.5000,0.1107,0.2028
37.5000,-112.5000,0.1191,0.1385
42.5000,-112.5000,0.1018,0.0987
47.5000,-112.5000,0.1072,0.1260
52.5000,-112.5000,0.1369,0.2413
57.5000,-112.5000,0.1317,0.1893
